-3	3
-2.9	2.9
-2.8	2.8
-2.7	2.7
-2.6	2.6
-2.5	2.5
-2.4	2.4
-2.3	2.3
-2.2	2.2
-2.1	2.1
-2	2
-1.9	1.9
-1.8	1.8
-1.7	1.7
-1.6	1.6
-1.5	1.5
-1.4	1.4
-1.3	1.3
-1.2	1.2
-1.1	1.1
-1	1
-0.900001	0.900001
-0.800001	0.800001
-0.700001	0.700001
-0.600001	0.600001
-0.500001	0.500001
-0.400001	0.400001
-0.300001	0.300001
-0.200001	0.200001
-0.100001	0.100001
-6.12438e-007	6.12438e-007
0.0999994	0.0999994
0.199999	0.199999
0.299999	0.299999
0.399999	0.399999
0.499999	0.499999
0.599999	0.599999
0.699999	0.699999
0.799999	0.799999
0.899999	0.899999
0.999999	0.999999
1.1	1.1
1.2	1.2
1.3	1.3
1.4	1.4
1.5	1.5
1.6	1.6
1.7	1.7
1.8	1.8
1.9	1.9
2	2
2.1	2
2.2	2
2.3	2
2.4	2
2.5	2
2.6	2
2.7	2
2.8	2
2.9	2
3	2
3.1	2
3.2	2
3.3	2
3.4	2
3.5	2
3.6	2
3.7	2
3.8	2
3.9	2
4	2
